index,city,state,zipcode,address,loc_name,loc_number,url,promotion,latitude,longitude,is_open,closed_message,delivery_fee,delivery_time,review_count,review_rating,price_bucket,img1,img2,img3,img4,img5,scan_date,TID
0,Alexander City,AL,35010,"4097 U S Highway 280, Alexander City, AL 35010",The Saucy Hen (4097 U. S. HIGHWAY 280),0623b7ac-598d-5016-bdd2-febb44d79b12,https://www.ubereats.com/store/the-saucy-hen-4097-u-s-highway-280/0623b7ac-598d-5016-bdd2-febb44d79b12,,32.92388,-85.95965,False,Opens at 11:00 AM,,,,,$$,https://tb-static.uber.com/prod/image-proc/processed_images/40261745fed11a5c1e3cf1a2598323cf/9ba9ffab5f885fc3dac87838b3357014.webp,https://tb-static.uber.com/prod/image-proc/processed_images/40261745fed11a5c1e3cf1a2598323cf/f493b917841caa2281121494c004e237.webp,https://tb-static.uber.com/prod/image-proc/processed_images/40261745fed11a5c1e3cf1a2598323cf/357bb8cd86dabbaef837e6fb8fd17922.webp,https://tb-static.uber.com/prod/image-proc/processed_images/40261745fed11a5c1e3cf1a2598323cf/63fd65eea364e21ed668f3bae8d7f85f.webp,https://tb-static.uber.com/prod/image-proc/processed_images/40261745fed11a5c1e3cf1a2598323cf/f7e27f77a1abfdaa9fab9b4ae7dab7cb.webp,2022-11-09 18:03:43,1
1,Albertville,AL,35951,"7300 Hwy 431 North, Albertville, AL 35951",Burger King (7300 Hwy 431 North),62a60773-5644-4d73-b969-a4922ce70fa6,https://www.ubereats.com/store/burger-king-7300-hwy-431-north/62a60773-5644-4d73-b969-a4922ce70fa6,,34.27726,-86.20611,True,,,15–30 min,,,$,https://d1ralsognjng37.cloudfront.net/028932d2-8d93-41a5-8796-2b74a7ea1822.jpeg,https://d1ralsognjng37.cloudfront.net/86583cc1-7f45-404c-9443-154d450db117.jpeg,https://d1ralsognjng37.cloudfront.net/0601a57e-b379-4389-ac7f-778f301566b9.jpeg,https://d1ralsognjng37.cloudfront.net/b745dbc7-8029-4c7f-b88d-dbd19e943603.jpeg,https://d1ralsognjng37.cloudfront.net/33efde32-62a9-49ba-9b7c-67b82218d63e.jpeg,2022-11-09 18:03:43,2
2,Alexander City,AL,35010,"4097 Us Highway 280, Alexander City, AL 35010",MrBeast Burger (4097 US Highway 280),308b1654-60f1-51d4-bfe2-ed7c849442ac,https://www.ubereats.com/store/mrbeast-burger-4097-us-highway-280/308b1654-60f1-51d4-bfe2-ed7c849442ac,,32.92388,-85.95965,False,Opens at 11:00 AM,,,,,$$,https://d1ralsognjng37.cloudfront.net/a22dc334-f814-415d-935f-0c8e0a0af8b0.jpeg,https://d1ralsognjng37.cloudfront.net/3f86d609-51b7-457d-bdf6-30a62286630b.jpeg,https://d1ralsognjng37.cloudfront.net/e0829c89-5744-4543-8b8e-3ce1b35fd692.jpeg,https://d1ralsognjng37.cloudfront.net/0e41e2d9-6c0b-421c-b9ff-31368ff79e80.jpeg,https://d1ralsognjng37.cloudfront.net/6284a890-9259-43c5-a97b-c107595ca737.jpeg,2022-11-09 18:03:43,3
3,Albertville,AL,35950,"7959 Us Hwy 431, Albertville, AL 35950",Taco Bell (7959 Us Highway 431),ef86513f-3973-4315-b938-bb6f230c5c58,https://www.ubereats.com/store/taco-bell-7959-us-highway-431/ef86513f-3973-4315-b938-bb6f230c5c58,"Spend $15, Save $5",34.28,-86.21703,True,,,30–45 min,,,$,https://d1ralsognjng37.cloudfront.net/1c1b3198-a56e-461e-8906-aead94f21ba4.jpeg,https://d1ralsognjng37.cloudfront.net/c8f6f1ea-a36d-446b-8d68-49f4b2600a87.jpeg,https://d1ralsognjng37.cloudfront.net/e669e864-3a8b-46e6-a11e-259928a5c8b9.jpeg,https://d1ralsognjng37.cloudfront.net/e4053d9a-8f7e-4fe5-9cbc-bb98024cb1e5.jpeg,https://d1ralsognjng37.cloudfront.net/30fe7bae-497a-4834-af48-9fd11abed0e3.jpeg,2022-11-09 18:03:43,4
4,Alexander City,AL,35010,"977 Jefferson St, Alexander City, AL 35010",The Station,9507eb1b-5afc-4ee1-a566-526d9e2ba2d0,https://www.ubereats.com/store/the-station/9507eb1b-5afc-4ee1-a566-526d9e2ba2d0,,32.956127,-85.94433,False,Opens at 11:00 AM,,,,,$,https://d1ralsognjng37.cloudfront.net/3b0a4d53-48d3-4227-bd7a-a1b6ba743bea.jpeg,https://d1ralsognjng37.cloudfront.net/bb83adfa-de0f-49bd-8b45-6a81d3a3c79f.jpeg,https://d1ralsognjng37.cloudfront.net/2156d6be-1cd9-44ac-9c04-59e8729b1887.jpeg,https://d1ralsognjng37.cloudfront.net/aa8f2ad2-7c6f-4e6b-aa9d-f4aca31a94e5.jpeg,https://d1ralsognjng37.cloudfront.net/8a90ff8a-8033-40d7-83bc-3978742dff71.jpeg,2022-11-09 18:03:43,5
5,Albertville,AL,35950,"7375 Hwy 431, Albertville, AL 35950",McDonald's (7375 Hwy 431),aad1fb1b-72ea-4c3d-a8b0-6f54cdba1773,https://www.ubereats.com/store/mcdonalds-7375-hwy-431/aad1fb1b-72ea-4c3d-a8b0-6f54cdba1773,,34.27652,-86.20774,True,,,15–30 min,,,$,https://tb-static.uber.com/prod/image-proc/processed_images/8220e2123e968808ef4e4908d59f7200/3ac2b39ad528f8c8c5dc77c59abb683d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/8220e2123e968808ef4e4908d59f7200/719c6bd2757b08684c0faae44d43159d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/8220e2123e968808ef4e4908d59f7200/93b5fd796682c6d5302cd5bec164fe90.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/8220e2123e968808ef4e4908d59f7200/97e6648b3593c29cb4a6335f976e6d84.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/8220e2123e968808ef4e4908d59f7200/a70f5c9df440d10213e93244e9eb7cad.jpeg,2022-11-09 18:03:43,6
6,Alexander City,AL,35010,"3140 Highway 280, Alexander City, AL 35010",Walgreens (3140 Highway 280),5dddbdd6-a390-44f5-9aa7-10f8aa8b1140,https://www.ubereats.com/store/walgreens-3140-highway-280/5dddbdd6-a390-44f5-9aa7-10f8aa8b1140,,32.93285,-85.9708,False,Opens at 8:00 AM,,,,,$,https://tb-static.uber.com/prod/image-proc/processed_images/7c8de9248810ea97ae0d0e6b60927521/16bb0a3ab8ea98cfe8906135767f7bf4.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/7c8de9248810ea97ae0d0e6b60927521/d24a30ada2fef6c54cef8739d94823b0.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/7c8de9248810ea97ae0d0e6b60927521/e0131c83be09a5694ebe179208a3825d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/7c8de9248810ea97ae0d0e6b60927521/1d4135bf27b924efdd528452baa17174.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/7c8de9248810ea97ae0d0e6b60927521/69ad85cd7b39888042b3bbf1c22d630d.jpeg,2022-11-09 18:03:43,7
7,Albertville,AL,35950,"Alabama 75, Albertville, AL 35950",Wild Burger (128 AL Hwy 75),adbe7398-b616-5e82-88f1-3abca66679dc,https://www.ubereats.com/store/wild-burger-128-al-hwy-75/adbe7398-b616-5e82-88f1-3abca66679dc,,34.261726,-86.229402,False,Opens at 11:00 AM,,,,,$$,,,,,,2022-11-09 18:03:43,8
8,Boaz,AL,35957-5915,"1905 Us Highway 431, Boaz, AL 35957-5915",Dairy Queen (1905 US Highway 431),61201009-07c2-5dfe-8b22-fd0aad55d23a,https://www.ubereats.com/store/dairy-queen-1905-us-highway-431/61201009-07c2-5dfe-8b22-fd0aad55d23a,,34.21322,-86.15682,False,Opens at 10:30 AM,,,,,$,https://tb-static.uber.com/prod/image-proc/processed_images/c967078954e0824f75742bed5a62e85f/9ba9ffab5f885fc3dac87838b3357014.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/c967078954e0824f75742bed5a62e85f/f493b917841caa2281121494c004e237.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/c967078954e0824f75742bed5a62e85f/357bb8cd86dabbaef837e6fb8fd17922.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/c967078954e0824f75742bed5a62e85f/63fd65eea364e21ed668f3bae8d7f85f.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/c967078954e0824f75742bed5a62e85f/f7e27f77a1abfdaa9fab9b4ae7dab7cb.jpeg,2022-11-09 18:03:43,9
9,Guntersville,AL,35976,"11635 Us Highway 431, Guntersville, AL 35976",Cracker Barrel Old Country Store (11635 US Highway 431),25d164d3-80d6-5c37-a53b-bc9e1cbd4df0,https://www.ubereats.com/store/cracker-barrel-old-country-store-11635-us-highway-431/25d164d3-80d6-5c37-a53b-bc9e1cbd4df0,,34.30051,-86.27597,False,Opens at 7:30 AM,,,,,$$,https://tb-static.uber.com/prod/image-proc/processed_images/f68e9f92313352ac5b4c9eb9db087111/3ac2b39ad528f8c8c5dc77c59abb683d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/f68e9f92313352ac5b4c9eb9db087111/719c6bd2757b08684c0faae44d43159d.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/f68e9f92313352ac5b4c9eb9db087111/93b5fd796682c6d5302cd5bec164fe90.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/f68e9f92313352ac5b4c9eb9db087111/97e6648b3593c29cb4a6335f976e6d84.jpeg,https://tb-static.uber.com/prod/image-proc/processed_images/f68e9f92313352ac5b4c9eb9db087111/a70f5c9df440d10213e93244e9eb7cad.jpeg,2022-11-09 18:03:43,10
